연번,종목,명칭,소재지,관리자,상세페이지링크,분류,수량/면적,지정(등록)일,소재지(상세),시대,소유자(소유단체),관리자(관리단체),설명
563,전북특별자치도무형유산,가야금산조,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00400000&ccbaCtcd=35&ccbaCpno=2223500400000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2010.03.12,전북특별자치도 전주시,,,,지성자는 1945년에 태어나 모친인 성금련에게 가양금산조를 전수받았다. 8세때 발표회를 시작하여 다수공연과 연주회를 통해 입상하였다. 성금련류 가야금산조는 전통을 중시하는 고집스러움과 투철한 예술감각으로 국내 최초 15현 가야금 개량 및 연주곡들을 작곡하여 가야금산조의 신기원을 이룩하였다.
564,전북특별자치도무형유산,무주 부남 디딜방아 액막이놀이,전북 무주군,무주군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00410000&ccbaCtcd=35&ccbaCpno=2223500410000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2010.05.28,전북특별자치도 무주군,,,무주군,"무주 부남 디딜방아 액막놀이는 부남면 대소리 대소,대티,가정마을 중심으로 계승해온 전통민속놀이다. 지금으로부터 약 250여년(1750년경) 전 마을에 전염병이 돌고 나서 한 해의 무병장수와 풍년, 마을의 번영을 기원하기 위한 액막이다.

디딜방아 액막놀이는 다섯 마당으로 이루어져 있는데 놀이장면마다 음악적 이름을 붙였다. 제1놀이마당은 길거리 굿, 제2놀이마당은 창거리 굿, 제3놀이마당은 짓거리 굿, 제4놀이마당은 합거리 굿, 제5놀이마당은 뒤풀이 굿으로 구성되는 등 춤, 농악, 제례의식 등을 곁들인 종합 민속놀이이다."
565,전북특별자치도무형유산,불교목조각장(林聖安),전북 김제시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00420000&ccbaCtcd=35&ccbaCpno=2223500420000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2010.12.24,전북특별자치도 김제시,,,,"임성안은 1958년에 태어나, 조선불교미술의 맥인 금호 - 보응 - 일섭 - 우일스님으로 내려오는 계보를 잇는 허길량 문하생으로 입문하여 사사받았다.

임성안은 마산 관음사, 무주 안국사․백련사, 김제 금산사․ 귀신사, 장수 신광사, 완주 화암사․ 위봉사, 광주 원광사, 군산 은적사, 인천 지선사, 해남 대흥사 등 여러 불사에 주도적으로 참여하였다."
566,전북특별자치도무형유산,방짜유기장,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00430000&ccbaCtcd=35&ccbaCpno=2223500430000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통기술 / 공예,,2011.04.29,전북특별자치도 전주시,,,,"이종덕은 1961년에 충남 부여에서 태어나, 김약환이봉주박임모송광호박일동곽선재 등에게 사사받았으며, 전승공예대전, 전북공예품경진대회 등에서 입상하였다.

유기란 놋쇠로 만든 그릇을 말하는데, 그 가운데 방짜유기는 구리 78%, 주석 22%를 섞어서 녹인 다음 두드려 만든 유기를 말한다. 놋쇠의 기원은 청동기 시대로 거슬러 올라가며, 철기시대와 삼국시대를 거쳐 고려시대에 와서 불교와 상류층을 중심으로 사용되다가 조선시대에 와서는 일반인 등도 사용하였다. 방짜유기는 얼마 전까지만 해도 전북지역을 대표하는 토산품 가운데 하나였으며, 『경국대전』에도 외공장을 전주와 남원에 유기장을 두었다는 기록이 있을 정도로 항토문화적 특성이 강하였으며, 특히 6.25전까지 남원,운봉,전주,임실,정읍,군산 등 전북지역에서 유기생산이 활발했으며, 이곳을 거점으로 다른 지역에 까지 영향을 끼쳤으며, 또한 전주와 익산, 김제에 놋전이 있어서 대구,안성과 함께 3대 시장으로 꼽히기도 하였다."
567,전북특별자치도무형유산,한량춤,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00440000&ccbaCtcd=35&ccbaCpno=2223500440000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2011.09.30,전북특별자치도 전주시,,,,"김무철은 부친인 김조균으로부터 한량춤을 사사받았다.

한량무 명칭은 당시 전통춤을 고수했던 전라도 지역의 특성상“남무”라 칭하였고 조선조말 남사당패 무동등이 여흥으로 추었던 춤이 남사당패가 흩어지자 기방에서 추어졌다. 한량의 한과 흥의 이미지를 복합적으로 나타낸 춤으로 갓아래로 가려진 홍안이 부채로 가리워져서 그 멋을 더하며 한량의 학식과 인격을 엿볼수 있는 춤이며, 특히 발 디딤새의 독특한 매력은 춤의 맛을 더한다."
568,전북특별자치도무형유산,우산장,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00450000&ccbaCtcd=35&ccbaCpno=2223500450000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2011.09.30,전북특별자치도 전주시,,,,"2008년 제33회 대한민국전승공예대전 입선

2009년 제14회 전주전통공예전국대전 입선

2010년 제35회 대한민국전승공예대전 특선"
569,전북특별자치도무형유산,전라삼현육각(全羅三絃六角),전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00460000&ccbaCtcd=35&ccbaCpno=2223500460000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2011.09.30,전북특별자치도 전주시,,,,"전라삼현육각에 쓰이는 악기는 대금, 피리, 해금, 장구, 북으로 편성되며 단소를 곁들이기도 한다. 대금은 삼현대금을 쓰며, 피리는 향피리를 쓴다. 삼현육각은 향교의 제향, 사가의 회갑 및 혼인, 절에서 제사 지낼 때, 혹은 상량 올릴 때, 춤을 출 때, 활을 쏠 때 등 다양한 행사에 연주되었다.

전라의 삼현육각에는 전국 유일하게 농삼현과 민삼현이 있다. 농삼현은 무용 반주용으로 연주하기 위해 세련되게 정비한 삼현이며, 민삼현은 본래부터 민가에서 쓰던 삼현이다.

전라삼현육각에 쓰이는 악곡에는 본영산, 중영산, 잔영산, 허두, 꺽두리, 돌가락, 삼현, 염불, 삼현돌장, 타령, 굿거리, 행락, 군악, 당악 등이 있다. 전라의 삼현육각은 행사의 내용에 따라 연주되는 음악의 순서가 적절하게 바뀌어 연주되는게 특징이다.

전라 농삼현은 대풍류 48장의 가곡, 편락까지 배웠으나 지금은 본영산, 염불, 굿거리, 늦은 타령, 자즌타령, 승전곡만 남아 있다. 의례의식 음악 뿐만 아니라 행악, 사찰음악, 좌속음악 등 궁중음악이 지방관라에 까지 보급되지 않아 탄생한 삼현육각은 향토음악으로 자리 잡아 국악 진흥에 크게 이바지 해왔다."
570,전북특별자치도무형유산,호남산조춤,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=57&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00470000&ccbaCtcd=35&ccbaCpno=2223500470000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2013.05.24,전북특별자치도 전주시,,,,"이길주는 1950년에 전주에서 태어나, 최선에게 입문하여 한국무용을 익혔다. 호남산조춤은 이추월-최선-이길주로 이어지는 기방계 전통춤으로서 즉흥형식의 산조연주에 맞춰 최고의 춤사위를 발휘하는 한국 춤의 대표적 특성인 한과 신명을 한층 더 자유롭게 승화시킨 춤이다.

이길주는 대한민국 무용제, 이탈리아 시실리아댄스 페스티발 등 다수 대회에서 입상하였다."
571,전북특별자치도무형유산,예기무,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00480000&ccbaCtcd=35&ccbaCpno=2223500480000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2013.05.24,전북특별자치도 전주시,,,,"김광숙은 1944년에 태어나, 정형인, 최선, 박금슬로부터 무용을 사사받았으며, 특히 박금슬로부터 조선시대 관기(官妓)들이 췄던 '예기무'(교방무) 등을 전수받았다. 김광숙은 대한민국 무용제, 전국 국악경연대회 등 다수 대회에서 입상하였다.

예기무는 악가무가 특출하게 뛰어난 교방의 기녀들이 잔치판이나 놀이판에서 참석자들의 흥을 돋우기 위해 추는 일종의 놀이적 성격의 춤이다. 이 춤을 한편에서는 교방춤이라고도 하는데, 예기무를 출 정도의 기녀라면 기예능적으로 상당히 수준을 갖추어야 할 뿐만 아니라 향유자들을 쉽게 흥에 젖어들게 하는 능수능란한 재취도 함께 겸비해야 한다. 예기무에는 법무라 칭했던 승무와 검무를 위시하여 입춤, 굿거리춤, 수건춤 등의 많은 춤들이 있으며, 이중 부채-수건-접시 등을 차례로 들고 추는 춤이 있는데 이를 접시춤이라고도 한다."
572,전북특별자치도무형유산,가야금병창(伽倻琴竝唱),전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00490000&ccbaCtcd=35&ccbaCpno=2223500490000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2013.10.25,전북특별자치도 전주시,,,,"가야금을 타면서 노래를 부르는 것을 가야금병창이라 한다.

가야금병창은 단가나 판소리 중 한 대목을 따다가 가야금반주를 얹어 부른다. 가야금병창은 원래 가야금산조의 명인들이 불렀지만, 오늘날에는 산조와 병창의 연주자가 분리되는 추세이다. 원곡이 따로 있는 노래를 병창으로 부를 때에는 가야금 특유의 선율로 인해 본래의 곡과 다른 맛이 나고 독특한 개성을 표현하게 된다. 판소리 흥보가 중 “제비노정기”, 춘향가 중 “사랑가”, 수궁가 중 “고고천변”, 심청가 중 “심봉사 황성가는 대목”은 가야금병창의 유명한 대목이다."
573,전북특별자치도무형유산,가야금병창(박귀희류 가야금병창)(伽倻琴竝唱),전북 부안군,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00490100&ccbaCtcd=35&ccbaCpno=2223500490100&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통 공연·예술 / 음악,,2020.06.05,전북특별자치도 부안군,,,,"박선옥은 1956년 1월 29일 전북특별자치도 부안군 주산면 덕림리에서 태어났다. 14세부터 부안국악원에서 판소리를 배웠다. 1974년부터 박귀희[국가무형유산, 본명 오계화(吳桂花)] 명창에게 가야금 병창을 배웠다. 가야금 병창의 전승 계보는 다양하지만, 박귀희제 가야금 병창은 김창조(金昌祚)[1865~1919]를 시작으로 오수관(吳壽寬)-오수관의 아들 오태석(吳太石)[1895~1953]-박귀희(朴貴姬)[1921~1993]로 이어지면서 맥이 전승되고 있다. 박귀희제 가야금 병창은 판소리로 단련된 소리 실력과 가야금 실력을 바탕으로 가야금 병창이 구성되어 있으며, 독창적인 장르로 계승되고 있다.

박선옥은 2001년 서울특별시 서초구 방배동에 박선옥국악예술민속연구원을 개원하였다. 2006년 전북특별자치도 부안군 부안읍 서외리에 같은 이름으로 박선옥국악예술민속연구원을 개원하였다. 2020년 6월 5일 전북특별자치도 무형유산 가야금 병창 예능 보유자로 인정되었다. 현재 박선옥국악예술민속연구원에서 후학을 양성하고 있다."
574,전북특별자치도무형유산,전주 나전장(全州 螺鈿丈),전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00500000&ccbaCtcd=35&ccbaCpno=2223500500000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2013.10.25,전북특별자치도 전주시,,,,"나전장은 나무로 짠 가구나 기물 위에 무늬가 아름다운 전복이나 조개껍질을 갈고 문양을 오려서 옻칠로 붙이는 기술이다. 나전칠기의 제작과정은, 나무로 기본 틀인 백골을 짜고 그 표면을 사포로 문지르거나 틈새를 메워 고르게 한 다음 자개를 붙인다. 그 후 연마, 옻칠, 광내기 과정을 거쳐 완성한다. 자개로 무늬를 만드는 방법에는 자개를 실처럼 잘게 자른 '상사'로 기하학적인 문양을 만드는 끊음질 기법과, 자개를 문질러 얇게 만들어 국화, 대나무, 거북이 등 각종 도안 문양을 만드는 줄음질 기법이 있다. 나전 무늬는 고려시대와 조선 전기에는 모란·국화·연꽃 등의 식물무늬가, 조선 중기에는 화조·쌍학·포도· 사군자 등의 무늬가 주로 사용되었다.

전주나전장 최대규는 점차 사라져가고 있는 전통나전법의 보존전승을 위해 제자 등을 대상으로 전수에 심혈을 기울이고 있다."
575,전북특별자치도무형유산,전주 낙죽장(全州 烙竹丈),전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00510000&ccbaCtcd=35&ccbaCpno=2223500510000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산,,2013.10.25,전북특별자치도 전주시,,,,"낙죽장(烙竹匠)이란 불에 달군 인두를 대나무에 지져가면서 장식적인 그림이나 글씨를 새기는 기능 또는 그 기술을 가진 사람을 말한다. 낙죽은 온도를 맞추어 그려야 하고 인두가 식기 전에 한 무늬나 글씨를 마무리지어야 하기 때문에 작업 경험과 속력을 필요로 하는데, 주로 화살대·침통·칼자루·병풍·담뱃대·부채·대나무필통 등에 쓰인다. 낙죽은 접는 부채의 맨 처음과 마지막에 쓰이는 두꺼운 대나무(합죽선)살에 가장 많이 쓰인다. 합죽선에는 나비무늬를 많이 사용하지만 간혹 박쥐무늬도 보인다.

전주낙죽장 이신입은 공방을 운영하면서, 전통 낙죽기법의 보존 전승 및 전수를 위해 심혈을 기울이고 있다."
576,전북특별자치도무형유산,전라삼현승무,전북 전주시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00520000&ccbaCtcd=35&ccbaCpno=2223500520000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통 공연·예술 / 춤,,2014.10.25,전북특별자치도 전주시,,,,"승무(僧舞)는 승복을 입고 추는 춤으로 우리나라의 대표적인 민속춤 가운데 하나이다. 승무는 흔히 무복(舞服) 때문에 중춤이라고도 하지만 불교의식에서 승려가 추는 춤과는 다르다. 승무의 유래는 불교문화사적 입장에서 본 불교설과 김만중 소설 중 구운몽에서 나왔다는 설, 탈놀음 중에서 노장춤과 파계승의 번뇌에서 비롯된 춤이라는 설 중 어느 것이 확실한지 알 수 없으나, 1910년대쯤 기방에서 발전되었다고 한다. 춤의 형태는 의식성이나 종교성, 생산성, 극성, 놀이성이 전혀 담겨 있지 않은 홀춤[독무(獨舞)]으로, 춤사위가 살풀이춤과 유사함을 지니고 있어 기녀들에 의해 예술적인 춤의 형식이 갖추어졌다고 보여진다.

전라삼현승무는 전라삼현육각 가락에 승무를 추고 있으며, 전라삼현승무 보유자 문정근은 전라삼현승무의 전승과 보급에 노력하고 있다."
577,전북특별자치도무형유산,부거리옹기장,전북 김제시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00530000&ccbaCtcd=35&ccbaCpno=2223500530000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통기술 / 공예,,2015.12.28,전북특별자치도 김제시,,,,"김제시 백산면 부거리에서 옹기 만들기에 매진하고 있는 옹기장인 안시성씨는 1992년 부거리 옹기마을에 옹기만들기에 명망이 높았던 故변동순선생에게 전통작업방식과 옹기장인으로서의 정신을 사사받았고

국내 유일하게 보존되어있는 부거리 옹기가마와 작업장을 20년이상 지켜오며 국가등록문화유산으로 지정되는데 기여하였으며, 김제 부거리에서 전승되어온 전통제작방식을 그대로 재현함과 동시에, 실생활에 필요한 상품개발에도 끊임없는 연구를 지속해온 인물이다.

또한 과거 유교사회 신분제의 산물로서, 옹기가마에 대한 마을사람들의 부정적 인식을 각종 문화행사를 주최하며 점차로 마을사람들과 함께하는 화합분위기를 조성하는데 기여하고 있는 옹기장인이다."
578,전북특별자치도무형유산,모필장,전북 익산시,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00540000&ccbaCtcd=35&ccbaCpno=2223500540000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통기술 / 공예,,2015.12.28,전북특별자치도 익산시,,,,"모필장은 문방사우(文房四友)의 하나인 붓을 만드는 사람과 그 기술을 말한다.

붓은 먹을 함유하되 균일하게 발산할 수 있어야 하고, 마모에 오래 견딜 수 있는 내구력과 붓끝인 호의 갈라짐이 없어야 하고, 탄력과 유연성을 유지해야 한다.

이런 조건을 충족시킬 수 있는 재료로 양의 겨드랑이 털, 족제비 꼬리털, 산토끼털 등 여러 동물들의 털이 사용되는데, 추운 내륙지방의 짐승일수록 품질이 좋다.

붓의 구성은 촉과 붓대롱, 그리고 큰붓의 경우 붓촉과 붓대롱을 연결하는 각통으로 되어있는데, 붓대롱은 주로 대나무를 사용하고, 각통은 참죽나무를 많이 쓴다.

붓의 제작과정은 선별-탈지-정모-혼모-분모-의체와 작촉-필촉 삽입의 복잡하고 섬세한 과정으로 이루어진다."
579,전북특별자치도무형유산,전북 겨루기 태권도,전북,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00550000&ccbaCtcd=35&ccbaCpno=2223500550000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통 놀이·무예 / 무예,,2016.10.14,전북특별자치도,,,,
580,전북특별자치도무형유산,무주 안성낙화놀이,전북 무주군,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=58&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00560000&ccbaCtcd=35&ccbaCpno=2223500560000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통 놀이·무예 / 놀이,,2016.10.14,전북특별자치도 무주군,,,,"무주 안성 낙화놀이는 음력 정월 대보름날, 모내기 전 혹은 4월 초파일, 7월 보름에 숯가루·사금파리·소금·마른 쑥 등을 넣은 낙화봉을 긴 줄에 매달아 놓고 거기에 불을 붙여 그것이 타오를 때 나오는 불꽃 모양과 터지는 폭음 소리를 함께 즐기는 우리나라 전통 민속놀이를 말한다. 이를 ‘줄불 놀이’, ‘줄불이’ 등이라고도 한다.

1. 불놀이 종류와 낙화놀이

토화(吐火), 폭죽, 연등놀이, 화산대(火山臺), 줄불-낙화놀이, 불단-낙화놀이, 달걀 불놀이, 횃불 놀이, 딱총 놀이 등이 있다.

2. 낙화놀이의 지역적 분포

함경남도 북청 지방의 ‘연등’, 평안북도 정주 지방의 ‘연등’, 경기도 여주 지방의 ‘낙화놀이’, 경기도 양주시의 ‘줄불 놀이’, 충청북도 청주 지방의 ‘불꽃놀이’, 충청북도 충주 지방의 ‘불꽃놀이’, 충청남도 공주 지방의 ‘연등·관등’, 경상북도 안동 지방의 ‘선유-줄불 놀이’, 경상남도 함안 지방의 ‘이수정 낙화놀이’, 경상남도 마산 지방의 ‘진동 낙화놀이’, 경상남도 고성 지방의 ‘낙화놀이’, 경상남도 진해 지방의 ‘낙화놀이’, 전북특별자치도 무주 지방의 ‘낙화놀이’, 전북특별자치도 진안 지방의 ‘불꽃놀이’, 전북특별자치도 임실 지방의 ‘불꽃놀이’, 전북특별자치도 순창 지방의 ‘관등’, 전라남도 화순 지방의 ‘적벽-낙화놀이’ 등이 있다.

3. 우리나라 낙화놀이 특징

첫째, 우리나라 낙화놀이는 전국적으로 분포한다. 둘째, 공연 시기는 음력 4월 초파일, 음력 정월 대보름날에 행하여진다. 셋째, 공연 장소는 마을에서 이루어진다. 넷째, 공연 주관자는 마을 사람들이다. 다섯째, 제작 재료는 숯, 한지, 줄이 공통 요소이다. 사금파리, 쑥, 소금, 유황 등이 첨가된다. 여섯째, 공연 내용상으로 보면 줄불 놀이, 줄불 놀이와 제등/연등 달기, 장대에 낙화를 매달아 불을 붙이는 장대 불놀이 등으로 다양하게 이루어진다."
581,전북특별자치도무형유산,진안고원형옹기장,전북 진안군,이현배,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=59&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=35&ccbaKdcd=22&ccbaAsno=00570000&ccbaCtcd=35&ccbaCpno=2223500570000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y,무형유산 / 전통기술 / 공예,,2017.01.06,전북특별자치도 진안군,,,이현배,"호남의 지붕으로 불리는 진안고원은 도요지의 보고이다. 진안고원에서도 도요지의 밀집도가 가장 높은 곳은 전북 진안군으로, 옹기의 몸을 이루는 태토가 많고 땔감이 풍성하여 옹기생산이 왕성하였다. 지정학적 이점이나 문화접변 지역으로서의 역동성이 진안고원 지역의 옹기문화에 내재되어 있으며 이는 해당 지역 옹기점 관습과 옹기의 조형성에서 구체적으로 드러난다.

현재 전북 진안군 백운면 평장리의 손내옹기도 옛날 화려했던 진안고원 도자문화의 전통과 그 맥락을 같이하며, 마을지명과 관계된 지역 옹기의 역사성, 지속성이 현재까지도 유효하여 진안고원형 옹기를 생산해오고 있는 대표적인 옹기점이라 할 수 있다."
